,Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
12,1606207912,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,2482,1563,9,8,1606207912023;1606207912251;1606207912252;1606207912252;1606207912503;1606207912606;1606207912648;1606207912861;1606207912877;1606207912918;1606207912939;1606207912947;1606207912952;1606207912967;1606207912967;1606207912979;1606207912984;,106;485;178;126;118;179;126;142;142;106;162;453;1143;126;165;126;162;,1;2;2;1;1;2;1;1;2;1;1;1;1;2;2;2;2;
13,1606207913,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,2275,3531,15,15,1606207913001;1606207913007;1606207913007;1606207913007;1606207913008;1606207913008;1606207913008;1606207913008;1606207913008;1606207913016;1606207913025;1606207913030;1606207913041;1606207913066;1606207913069;1606207913069;1606207913069;1606207913070;1606207913070;1606207913077;1606207913102;1606207913119;1606207913269;1606207913346;1606207913363;1606207913405;1606207913592;1606207913597;1606207913632;1606207913639;,371;489;442;126;377;227;165;126;126;165;106;107;126;192;316;306;165;126;126;165;126;118;231;142;142;106;170;170;126;126;,1;2;2;1;2;2;2;1;1;1;1;1;2;2;2;2;2;1;1;1;2;2;1;1;2;1;2;2;1;1;
14,1606207913,AnonIP1,AnonPort1,AnonIP2,AnonPort2,58,120,0,1,0,1606207913173;,120;,1;
15,1606207914,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,3490,860,6,6,1606207914020;1606207914045;1606207914185;1606207914226;1606207914504;1606207914947;1606207914947;1606207914956;1606207914970;1606207914971;1606207914972;1606207914976;,127;138;179;126;118;1366;894;859;126;126;165;126;,1;2;2;1;1;1;1;1;2;2;2;2;
16,1606207914,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,1359,0,4,0,1606207914711;1606207914714;1606207914717;1606207914721;,367;312;303;377;,1;1;1;1;
17,1606207915,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,1208,2888,9,11,1606207915013;1606207915031;1606207915032;1606207915032;1606207915032;1606207915032;1606207915032;1606207915032;1606207915033;1606207915033;1606207915033;1606207915033;1606207915034;1606207915035;1606207915044;1606207915059;1606207915066;1606207915932;1606207915949;1606207915991;,126;520;330;126;195;165;460;410;241;165;126;126;126;165;165;126;126;142;150;106;,1;2;2;1;2;2;2;2;2;2;1;1;1;1;1;2;2;1;2;1;
18,1606207915,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,2786,0,8,0,1606207915735;1606207915739;1606207915742;1606207915745;1606207915751;1606207915755;1606207915759;1606207915762;,328;384;312;304;324;378;376;380;,1;1;1;1;1;1;1;1;
19,1606207916,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,372,243,2,2,1606207916270;1606207916725;1606207916727;1606207916817;,231;137;141;106;,1;2;1;2;
20,1606207917,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,3144,1558,9,7,1606207917556;1606207917556;1606207917557;1606207917557;1606207917565;1606207917584;1606207917814;1606207917833;1606207917939;1606207917957;1606207917958;1606207917975;1606207917975;1606207917978;1606207917979;1606207917982;,178;157;165;126;165;126;127;138;145;127;127;391;403;1362;204;761;,2;2;2;1;1;2;1;2;1;1;1;2;2;1;1;1;
21,1606207918,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,4118,1072,8,5,1606207918003;1606207918003;1606207918006;1606207918008;1606207918025;1606207918200;1606207918201;1606207918201;1606207918280;1606207918280;1606207918504;1606207918881;1606207918881;,371;371;126;177;106;485;178;126;1362;204;118;1362;204;,1;1;2;2;2;2;2;1;1;1;1;1;1;
22,1606207919,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,626,106,3,1,1606207919132;1606207919230;1606207919272;1606207919272;,164;106;231;231;,1;2;1;1;
23,1606207920,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,2064,828,6,3,1606207920082;1606207920082;1606207920538;1606207920665;1606207920946;1606207920947;1606207920965;1606207920965;1606207920968;,1362;204;136;106;122;122;519;203;118;,1;1;1;2;1;1;2;2;1;
24,1606207921,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,5686,9278,15,15,1606207921062;1606207921062;1606207921064;1606207921094;1606207921127;1606207921148;1606207921149;1606207921149;1606207921149;1606207921149;1606207921149;1606207921149;1606207921150;1606207921150;1606207921151;1606207921153;1606207921241;1606207921245;1606207921245;1606207921246;1606207921329;1606207921333;1606207921334;1606207921334;1606207921636;1606207921723;1606207921723;1606207921765;1606207921979;1606207921979;,118;106;623;127;138;106;1366;1366;1366;422;1366;221;106;106;106;232;157;1366;584;229;106;1366;773;106;323;106;301;106;1362;204;,2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;1;1;1;2;2;2;1;1;2;2;1;1;1;
25,1606207922,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,393,0,2,0,1606207922281;1606207922938;,231;162;,1;1;
